,COMM,Median_Length,Mean_Length,Length_SD,Median_Weight,Mean_Weight,Weight_SD
45,LEMONWEED,NA,NA,NA,NA,NA,NA
46,LONGFIN HAKE; UROPHYCIS,25,24.7903682719547,5.10806160200712,84,90.4390934844193,47.2682426456946
47,LONGHORN SCULPIN,25.5,26.6666666666667,5.12510162500869,193,237.666666666667,151.548892000789
48,LUMPFISH,NA,NA,NA,NA,NA,NA
49,MACKEREL ATLANTIC,14,14,NA,17,17,NA
50,MAILED SCULPIN,11,11.7272727272727,0.904534033733291,12,10.5454545454545,2.87623491264661
51,MARLIN-SPIKE GRENADIER,22,21.4696428571429,8.28835033127234,25.5,28.4622302158273,17.2001574911359
52,MONKFISH,GOOSEFISH,ANGLER,51,53.4761904761905,30.0026982913521,2004,4666.66666666667,5658.50451385641
53,MUD STAR,NA,NA,NA,NA,NA,NA
54,NORTHERN HAGFISH; GLUTINOSA,NA,NA,NA,NA,NA,NA
55,NORTHERN KRILL,NA,NA,NA,NA,NA,NA
56,NORTHERN STONE CRAB,68,72.0870870870871,23.1965433304107,NA,NA,NA
57,OCEAN POUT,NA,NA,NA,NA,NA,NA
58,OCTOPUS,NA,NA,NA,NA,NA,NA
59,PALE EELPOUT,32.5,32.5,2.12132034355964,119,119,49.4974746830583
60,POLLOCK,23,23,NA,121,121,NA
61,PURPLE SUNSTAR,NA,NA,NA,NA,NA,NA
62,RAJA/SKATE EGGS,NA,NA,NA,NA,NA,NA
63,REDFISH UNSEPARATED,21,20.9977607165707,4.46042094246777,130,138.598947368421,88.5603244259112
64,RIBBED SCULPIN; PINGELI,12,12.5740740740741,3.79474239984771,15,30.4074074074074,103.930404601824
65,RUSSIAN HATS; POURTALESI,NA,NA,NA,NA,NA,NA
66,SAND DOLLARS,NA,NA,NA,NA,NA,NA
67,SAND LANCES,NA,NA,NA,NA,NA,NA
68,SARSI,NA,NA,NA,NA,NA,NA
69,SEA ANEMONE; WAS ANTHOZOA,NA,NA,NA,NA,NA,NA
70,SEA CUCUMBER  COMMON,NA,NA,NA,NA,NA,NA
71,SEA MOUSE,NA,NA,NA,NA,NA,NA
72,SEA PEACH,NA,NA,NA,NA,NA,NA
73,SEA PEN; PENNATULACEA,NA,NA,NA,NA,NA,NA
74,SEA POTATO,NA,NA,NA,NA,NA,NA
75,SEA RAVEN,NA,NA,NA,NA,NA,NA
76,SEA SCALLOP,NA,NA,NA,NA,NA,NA
77,SEA SLUGS,NA,NA,NA,NA,NA,NA
78,SEA SPIDER,NA,NA,NA,NA,NA,NA
79,SEA SQUIRTS,NA,NA,NA,NA,NA,NA
80,SEA URCHIN  GREEN,NA,NA,NA,NA,NA,NA
81,SEA URCHINS,NA,NA,NA,NA,NA,NA
82,SEASNAIL UNIDENTIFIED,10,10,NA,10,10,NA
83,SEAWEED, ALGAE ,KELP; THALLOPHYTA,NA,NA,NA,NA,NA,NA
84,SHORT-FIN SQUID,NA,NA,NA,NA,NA,NA
85,SHORTHORN SCULPIN,18,20.4888888888889,7.56373591620576,82,191.302325581395,315.181243012404
86,SHORTTAILED EELPOUT VAHL,32,30.8235294117647,5.68149731714324,100,128.588235294118,93.2289244437646
87,SHRIMPS,NA,NA,NA,NA,NA,NA
88,SILVER HAKE,30,28.88772845953,5.55698049853977,190,182.078534031414,85.3371212451664
89,SMOOTH SKATE,31,31.9257142857143,13.8854166212427,143,239.6875,251.859096803862
90,SNAKE BLENNY; LUMPRETAEFORMIS,22,27.3333333333333,10.1159939369957,11,21.3333333333333,20.5507501890645
91,SNOW CRAB  QUEEN; INCL CHIONOECETES SP,58,58.0835532415662,21.7647006516632,75,112.222025996044,135.660814794091
92,SNOWFLAKE HOOKEAR SCULPIN,17,16.625,3.15945293637092,60,61.125,30.511999981272
93,SPINY SUNSTAR,NA,NA,NA,NA,NA,NA
94,SPONGES,NA,NA,NA,NA,NA,NA
95,SPOTTED WOLFFISH,NA,NA,NA,NA,NA,NA
96,SQUIRREL OR RED HAKE,NA,NA,NA,NA,NA,NA
97,STIMPSON'S SURF CLAM, ARCTIC SURF CLAM,NA,NA,NA,NA,NA,NA
98,STRIPED ATLANTIC WOLFFISH,25,26.0263157894737,7.76654995771057,122,179.118421052632,156.005552645219
99,THORNY SKATE,25,26.8790931989924,11.826203194767,155,297.622166246851,543.431185009427
100,TOAD CRAB,59,54.6808510638298,20.3342786008372,NA,NA,NA
101,TURBOT,GREENLAND HALIBUT,26,27.5,11.6052495958432,122,266.970588235294,353.66500887517
102,TWOHORN SCULPIN,NA,NA,NA,NA,NA,NA
103,WHELKS,NA,NA,NA,NA,NA,NA
104,WHITE HAKE,36,37.1453488372093,7.61055208805215,341.5,437.238235294118,384.611851624278
105,WINTER SKATE,NA,NA,NA,NA,NA,NA
106,WITCH FLOUNDER,31,30.4218064893306,5.71891120674319,182,190.915259348613,99.1948296770234
107,YELLOWTAIL FLOUNDER; LIMANDA,22,22.0681818181818,3.8440742710105,92.5,96.6022727272727,52.7848680364545
