"Station","Activity","Depth","lon_ddm","lat_ddm","Longitude","Latitude","Attribute"
"SAB_9","eDNA Sample",88.2,"'-60° 43.461000'","45° 51.763000'",-59.275652922626,45.8627146379946,"Representative grid sample"
"SAB_10","eDNA Sample",58.4,"'-60° 44.366000'","45° 56.397000'",-59.2605624680991,45.939951526855,"Representative grid sample"
"SAB_11","eDNA Sample",78.3,"'-60° 44.821000'","46° 3.133000'",-59.2529823010352,46.0522155232753,"Representative grid sample"
"SAB_12","eDNA Sample",74,"'-60° 45.279000'","46° 9.869000'",-59.2453569671615,46.1644763306934,"Representative grid sample"
"SAB_13","eDNA Sample",108.1,"'-60° 46.342000'","46° 16.006000'",-59.227637008942,46.2667689760954,"Representative grid sample"
"SAB_14","eDNA Sample",124.3,"'-60° 51.676000'","45° 52.260000'",-59.1387375197447,45.8709946027187,"Representative grid sample"
"SAB_15","eDNA Sample",96.1,"'-60° 54.008000'","45° 56.084000'",-59.0998666374378,45.9347271478115,"Representative grid sample"
"SAB_16","eDNA Sample",87.4,"'-60° 54.494000'","46° 2.809000'",-59.0917677828008,46.0468086393966,"Representative grid sample"
"SAB_17","eDNA Sample",99.5,"'-60° 54.794000'","46° 9.448000'",-59.0867587678616,46.1574749772913,"Representative grid sample"
"SAB_18","eDNA Sample",116.2,"'-60° 53.268000'","46° 15.555000'",-59.1122053578156,46.2592476428841,"Representative grid sample"
"SAB_19","eDNA Sample",129.2,"'-59° 1.422000'","45° 56.127000'",-58.9762999143945,45.9354438164412,"Representative grid sample"
"SAB_20","eDNA Sample",132.9,"'-59° 1.217000'","46° 2.205000'",-58.9797125871504,46.0367473706802,"Representative grid sample"
"Curdo_1","eDNA sample",38.1,"'-60° 23.938000'","45° 53.819000'",-59.6010281101328,45.8969893004735,"Species transition"
"Curdo_2","eDNA sample",38.1,"'-60° 23.910000'","45° 53.353000'",-59.6015032974011,45.8892083584352,"Species transition"
"Curdo_3","eDNA sample",39.9,"'-60° 24.503000'","45° 53.569000'",-59.5916155533748,45.892811068821,"Species transition"
"Curdo_4","eDNA sample",62.4,"'-60° 23.760000'","45° 54.059000'",-59.6040076484863,45.9009755319335,"Species transition"
"Curdo_5","eDNA sample",54.1,"'-60° 23.703000'","45° 53.125000'",-59.6049571277766,45.8854135961741,"Species transition"
"Curdo_6","eDNA sample",56.4,"'-60° 24.889000'","45° 53.557000'",-59.585182185073,45.8926187752242,"Species transition"
"Curdo_7","eDNA sample",62.4,"'-60° 23.581000'","45° 54.298000'",-59.6069876021316,45.9049616951918,"Species transition"
"Curdo_8","eDNA sample",54.1,"'-60° 23.495000'","45° 52.897000'",-59.6084104781976,45.881618714102,"Species transition"
"Curdo_9","eDNA sample",56.4,"'-60° 25.275000'","45° 53.546000'",-59.578748882166,45.8924261200635,"Species transition"
"Curdo_10","eDNA sample",39.9,"'-60° 24.117000'","45° 53.580000'",-59.5980489869492,45.8930030008443,"Species transition"
"Scatarie_1","eDNA sample",39.4,"'-60° 46.017000'","45° 58.794000'",-59.2330519245765,45.9799028515616,"Species transition"
"Scatarie_2","eDNA sample",49.1,"'-60° 45.954000'","45° 57.861000'",-59.2341078789329,45.9643474444377,"Species transition"
"Scatarie_3","eDNA sample",52.8,"'-60° 47.144000'","45° 58.289000'",-59.2142601845872,45.9714858835624,"Species transition"
"Scatarie_4","eDNA sample",62.9,"'-60° 45.307000'","45° 59.753000'",-59.244880736131,45.995882911636,"Species transition"
"Scatarie_5","eDNA sample",54.8,"'-60° 45.118000'","45° 56.953000'",-59.248037828924,45.9492160032394,"Species transition"
"Scatarie_6","eDNA sample",52.4,"'-60° 48.690000'","45° 58.238000'",-59.1885014357585,45.9706284511324,"Species transition"
"Scatarie_7","eDNA sample",69.4,"'-60° 44.597000'","46° 0.712000'",-59.2567161597351,46.0118619182095,"Species transition"
"Scatarie_8","eDNA sample",58.4,"'-60° 44.282000'","45° 56.045000'",-59.261960030582,45.9340825964306,"Species transition"
"Scatarie_9","eDNA sample",62,"'-60° 50.235000'","45° 58.186000'",-59.1627438584298,45.9697652254814,"Species transition"
"Scatarie_10","eDNA sample",51.2,"'-60° 46.372000'","45° 58.315000'",-59.2271399958691,45.9719124271053,"Species transition"
