"ANIMAL_ID   (floy tag ID, pit tag code, etc.)",TAG_TYPE,TAG_MANUFACTURER,TAG_MODEL,TAG_SERIAL_NUMBER,TAG_ID_CODE,TAG_CODE_SPACE,TAG_IMPLANT_TYPE,TAG_IMPLANT_METHOD,TAG_ACTIVATION_DATE,EST_TAG_LIFE,TAGGER,TAG_OWNER_PI,TAG_OWNER_ORGANIZATION,COMMON_NAME_E,SCIENTIFIC_NAME,CAPTURE_LOCATION,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,WILD_OR_HATCHERY,STOCK,LENGTH (m),WEIGHT (kg),LENGTH_TYPE,LENGTH2 (m),LENGTH2_TYPE,LIFE_STAGE,AGE,AGE_UNITS,SEX,DNA_SAMPLE_TAKEN,TREATMENT_TYPE,RELEASE_GROUP,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE,UTC_RELEASE_DATE_TIME,HARVEST_DATE,CAPTURE_DEPTH (m),TEMPERATURE_CHANGE (degrees C),HOLDING_TEMPERATURE (degrees C),PREOP_HOLD_PERIOD,POSTOP_HOLD_PERIOD,SURGERY_LOCATION,DATE_OF_SURGERY,SURGERY_LATITUDE,SURGERY_LONGITUDE,SEDATIVE,SEDATIVE_CONCENTRATION (ppm),ANAESTHETIC,BUFFER,ANAESTHETIC_CONCENTRATION (ppm),BUFFER_CONCENTRATION_IN_ANAESTHETIC (ppm),ANAESTHETIC_CONCENTRATION_IN_RECIRCULATION (ppm),BUFFER_CONCENTRATION_IN_RECIRCULATION (ppm),DISSOLVED_OXYGEN (ppm),COMMENTS,FLOY_1,FLOY_2,Sample_vial_num_DNA,Sample_vial_num_SIA,Sales_order,set_no
MPA-SAB-25-HIP-07,Acoustic,INNOVASEA,V16,1553595,53822,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.4,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.162,-58.88067,2025-04-24T18:21:00,NA,,,,,,,,,,,,,,,,,,,,ST1147,ST1148,9,9,35846,2
MPA-SAB-25-HIP-08,Acoustic,INNOVASEA,V16,1553594,53812,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.94,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.16,-58.87767,2025-04-24T18:33:00,NA,,,,,,,,,,,,,,,,,,,,ST1145,ST1146,10,10,35846,2
MPA-SAB-25-HIP-09,Acoustic,INNOVASEA,V16,1553596,53823,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.66,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.15983,-58.8775,2025-04-24T18:35:00,NA,,,,,,,,,,,,,,,,,,,,ST1144,ST1143,11,11,35846,2
MPA-SAB-25-HIP-10,Acoustic,INNOVASEA,V16,1553616,53843,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.42,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1585,-58.87417,2025-04-24T18:46:00,NA,,,,,,,,,,,,,,,,,,,,ST1142,ST1141,12,12,35846,2
MPA-SAB-25-HIP-11,Acoustic,INNOVASEA,V16,1553624,53851,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.88,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.15633,-58.87217,2025-04-24T18:56:00,NA,,,,,,,,,,,,,,,,,,,,ST1140,ST1139,13,13,35846,2
MPA-SAB-25-HIP-12,Acoustic,INNOVASEA,V16,1553613,53840,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.41,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.15267,-58.872,2025-04-24T19:09:00,NA,,,,,,,,,,,,,,,,,,,,ST1138,ST1137,15,15,35846,2
MPA-SAB-25-HIP-13,Acoustic,INNOVASEA,V16,1553617,53844,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.53,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.12533,-58.89133,2025-04-24T19:54:00,NA,,,,,,,,,,,,,,,,,,,,ST1136,ST1135,16,16,35846,3
MPA-SAB-25-HIP-14,Acoustic,INNOVASEA,V13T,1619585,9692,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.7,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.12483,-58.89033,2025-04-24T19:58:00,NA,,,,,,,,,,,,,,,,,,,,ST1133,ST1134,17,17,40251,3
MPA-SAB-25-HIP-15,Acoustic,INNOVASEA,V16,1553618,53845,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.19,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.122,-58.87717,2025-04-24T20:30:00,NA,,,,,,,,,,,,,,,,,,,,ST1132,ST1131,18,18,35846,3
MPA-SAB-25-MOR-05,Acoustic,INNOVASEA,V13T,1619584,9691,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.68,,FORK,,,ADULT,U,NA,F,Y,ETHANOL,,ST. ANNS BANK MPA,46.12,-58.87333,2025-04-24T20:38:00,NA,,,,,,,,,,,,,,,,,,,,155,NA,19,19,40251,3
MPA-SAB-25-HIP-16,Acoustic,INNOVASEA,V13T,1619583,9690,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.74,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.213,-58.94083,2025-04-24T22:24:00,NA,,,,,,,,,,,,,,,,,,,,ST1129,ST1130,20,20,40251,4
MPA-SAB-25-HIP-17,Acoustic,INNOVASEA,V16,1553619,53846,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.88,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.21283,-58.93883,2025-04-24T22:30:00,NA,,,,,,,,,,,,,,,,,,,,ST1127,ST1128,21,21,35846,4
MPA-SAB-25-HIP-18,Acoustic,INNOVASEA,V13T,1619582,9689,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.84,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.2125,-58.93733,2025-04-24T22:35:00,NA,,,,,,,,,,,,,,,,,,,,ST1125,ST1126,22,22,40251,4
MPA-SAB-25-HIP-19,Acoustic,INNOVASEA,V16,1553622,53849,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.92,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.21217,-58.93433,2025-04-24T22:42:00,NA,,,,,,,,,,,,,,,,,,,,ST1123,ST1124,23,23,35846,4
MPA-SAB-25-HIP-20,Acoustic,INNOVASEA,V16,1553621,53848,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.15,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.21117,-58.93133,2025-04-24T22:51:00,NA,,,,,,,,,,,,,,,,,,,,ST1122,ST1117,24,24,35846,4
MPA-SAB-25-MOR-06,Acoustic,INNOVASEA,V13T,1619581,9688,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.61,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.16483,-58.8905,2025-04-25T13:53:00,NA,,,,,,,,,,,,,,,,,,,,156,NA,25,25,40251,1
MPA-SAB-25-MOR-07,Acoustic,INNOVASEA,V13T,1619594,9701,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.65,,FORK,,,ADULT,U,NA,F,Y,ETHANOL,,ST. ANNS BANK MPA,46.16483,-58.8905,2025-04-25T13:53:00,NA,,,,,,,,,,,,,,,,,,,,157,NA,26,26,40251,1
MPA-SAB-25-HIP-21,Acoustic,INNOVASEA,V16,1553625,53852,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.71,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.16483,-58.8905,2025-04-25T13:53:00,NA,,,,,,,,,,,,,,,,,,,,ST1101,ST1102,27,27,35846,1
MPA-SAB-25-MOR-08,Acoustic,INNOVASEA,V13T,1619593,9700,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.69,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.198,-58.935,2025-04-25T14:50:00,NA,,,,,,,,,,,,,,,,,,,,158,NA,28,28,40251,2
MPA-SAB-25-HIP-22,Acoustic,INNOVASEA,V16,1553620,53847,A69-9001,INTERNAL,"Midventral line incision, 2-3 sutures",,2333,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.35,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.196,-58.92883,2025-04-25T15:11:00,NA,,,,,,,,,,,,,,,,,,,,ST1107,ST1108,29,29,35846,2
MPA-SAB-25-HIP-23,Acoustic,INNOVASEA,V16T,1619610,9687,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.38,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.19517,-58.927,2025-04-25T15:17:00,NA,,,,,,,,,,,,,,,,,,,,ST1109,ST1110,30,30,40251,2
MPA-SAB-25-HIP-24,Acoustic,INNOVASEA,V13T,1619592,9699,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.74,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.19367,-58.95917,2025-04-25T16:44:00,NA,,,,,,,,,,,,,,,,,,,,ST1113,ST1114,32,32,40251,3
MPA-SAB-25-HIP-25,Acoustic,INNOVASEA,V16T,1619607,9684,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.76,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.19617,-58.959,2025-04-25T16:35:00,NA,,,,,,,,,,,,,,,,,,,,ST1111,ST1112,31,31,40251,3
MPA-SAB-25-HIP-26,Acoustic,INNOVASEA,V16T,1619608,9685,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.66,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.17417,-58.93067,2025-04-25T17:59:00,NA,,,,,,,,,,,,,,,,,,,,ST1120,NA,33,33,40251,4
MPA-SAB-25-HIP-27,Acoustic,INNOVASEA,V16T,1619609,9686,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.71,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.17217,-58.92867,2025-04-25T18:08:00,NA,,,,,,,,,,,,,,,,,,,,ST17013,ST17014,34,34,40251,4
MPA-SAB-25-HIP-28,Acoustic,INNOVASEA,V16T,1619604,9681,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.47,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1705,-58.9265,2025-04-25T18:16:00,NA,,,,,,,,,,,,,,,,,,,,ST17012,ST17011,35,35,40251,4
MPA-SAB-25-HIP-29,Acoustic,INNOVASEA,V16T,1619605,9682,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.14,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.16767,-58.92567,2025-04-25T18:30:00,NA,,,,,,,,,,,,,,,,,,,,ST12426,ST12427,36,36,40251,4
MPA-SAB-25-HIP-30,Acoustic,INNOVASEA,V16T,1619606,9683,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.17,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.16767,-58.92567,2025-04-25T18:30:00,NA,,,,,,,,,,,,,,,,,,,,ST21428,ST21429,37,37,40251,4
MPA-SAB-25-MOR-09,Acoustic,INNOVASEA,V13T,1619591,9698,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.57,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1675,-58.92617,2025-04-25T18:41:00,NA,,,,,,,,,,,,,,,,,,,,160,NA,38,38,40251,4
MPA-SAB-25-MOR-10,Acoustic,INNOVASEA,V16T,1619601,9678,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.67,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,46.1675,-58.927,2025-04-25T18:41:00,NA,,,,,,,,,,,,,,,,,,,,161,NA,39,39,40251,4
MPA-SAB-25-HIP-31,Acoustic,INNOVASEA,V16T,1619602,9679,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,2326,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,1.48,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,45.8875,-60.11167,2025-04-26T13:10:00,NA,,,,,,,,,,,,,,,,,,,,ST21433,ST21434,40,40,40251,1
MPA-SAB-25-HIP-32,Acoustic,INNOVASEA,V13T,1619590,9697,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC HALIBUT,Hippoglossus hippoglossus,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.62,,FORK,,,JUVENILE,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,45.88867,-60.11067,2025-04-26T13:15:00,NA,,,,,,,,,,,,,,,,,,,,ST21437,ST21438,41,41,40251,1
MPA-SAB-25-MOR-11,Acoustic,INNOVASEA,V13T,1619589,9696,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.54,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,45.89833,-59.104,2025-04-26T14:07:00,NA,,,,,,,,,,,,,,,,,,,,162,NA,42,42,40251,1
MPA-SAB-25-MOR-12,Acoustic,INNOVASEA,V13T,1619588,9695,A69-9006,INTERNAL,"Midventral line incision, 2-3 sutures",,1301,HARRI PETTITT-WADE,HARRI PETTITT-WADE,DFO-BIO,ATLANTIC COD,Gadus morhua,ST. ANNS BANK MPA,,,W,SCOTIAN SHELF,0.5,,FORK,,,ADULT,U,NA,U,Y,ETHANOL,,ST. ANNS BANK MPA,45.8985,-59.104,2025-04-26T14:07:00,NA,,,,,,,,,,,,,,,,,,,,163,NA,43,43,40251,1
