"","V1","collectioncode","animal_id","scientificname","common_name_e","datelastmodified","detectedby","glatos_array","station","receiver_sn","bottom_depth","receiver_depth","transmitter_id","transmitter_codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","detection_timestamp_utc","timezone","deploy_long","deploy_lat","the_geom","yearcollected","monthcollected","daycollected","julianday","timeofday","local_area","notes","citation","unqdetecid","contact_pi","contact_poc","min_lag","passed_filter"
"11",11,"SABMPA","SABMPA-MPA-SAB-0011","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57337","",NA,NA,"",NA,NA,2016-06-12 15:25:00,"UTC",-59.14621,46.00461,"0101000020E6100000912C6002B7924DC0069E7B0F97004740",2016,6,12,164,15.4166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0011-release-A69-1601-57337","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"12",12,"SABMPA","SABMPA-MPA-SAB-0012","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-57338","",NA,NA,"",NA,NA,2016-06-12 15:56:00,"UTC",-59.19333,46.01516,"0101000020E6100000F8AA9509BF984DC08B1A4CC3F0014740",2016,6,12,164,15.9333333333333,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0012-release-A69-1601-57338","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"13",14,"SABMPA","SABMPA-MPA-SAB-0013","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-55028","",NA,NA,"",NA,NA,2016-06-12 17:37:00,"UTC",-59.15143,46.00328,"0101000020E61000000FD1E80E62934DC08D5DA27A6B004740",2016,6,12,164,17.6166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0013-release-A69-1601-55028","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"14",15,"SABMPA","SABMPA-MPA-SAB-0014","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-55029","",NA,NA,"",NA,NA,2016-06-12 17:37:00,"UTC",-59.15143,46.00328,"0101000020E61000000FD1E80E62934DC08D5DA27A6B004740",2016,6,12,164,17.6166666666667,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0014-release-A69-1601-55029","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"15",16,"SABMPA","SABMPA-MPA-SAB-0015","Anarhichas lupus","Atlantic striped wolffish",2017-10-04,"SABMPA","SABMPA","Southern St.Anns Bank","release",NA,NA,"A69-1601-55030","",NA,NA,"",NA,NA,2016-06-12 19:21:00,"UTC",-59.15628,46.00335,"0101000020E61000006B82A8FB00944DC08638D6C56D004740",2016,6,12,164,19.35,"Southern St.Anns Bank","","Stanley, R.R.E.; Heaslip, S.G., Zisserson, B and Fenton, D. 2016. St Anns Bank Species Tracking Study. ","SABMPA-MPA-SAB-0015-release-A69-1601-55030","Ben Zisserson (ben.zisserson@dfo-mpo.gc.ca)","",0,1
"16",188,"SABMPA","SABMPA-MPA-SAB-0016","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55051","",NA,NA,"",NA,NA,2018-04-23 10:21:00,"UTC",-59.12502,45.99952,"0101000020E610000047ACC5A700904DC055D97745F0FF4640",2018,4,23,113,10.35,"St. Anns Bank MPA","DNA - GF01","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0016-release-A69-1601-55051","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"17",189,"SABMPA","SABMPA-MPA-SAB-0017","Microgadus tomcod","Atlantic tomcod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55031","",NA,NA,"",NA,NA,2018-04-23 23:54:00,"UTC",-59.32011,45.99266,"0101000020E6100000B08F4E5DF9A84DC010069E7B0FFF4640",2018,4,23,113,23.9,"St. Anns Bank MPA","DNA - GF02","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0017-release-A69-1601-55031","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"18",233,"SABMPA","SABMPA-MPA-SAB-0018","Microgadus tomcod","Atlantic tomcod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55032","",NA,NA,"",NA,NA,2018-04-24 00:34:00,"UTC",-59.32011,45.99263,"0101000020E6100000B08F4E5DF9A84DC0A583F57F0EFF4640",2018,4,24,114,0.566666666666667,"St. Anns Bank MPA","DNA - GF03","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0018-release-A69-1601-55032","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"19",247,"SABMPA","SABMPA-MPA-SAB-0019","Amblyraja radiata","Thorny skate",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55033","",NA,NA,"",NA,NA,2018-04-24 00:34:00,"UTC",-59.32011,45.99263,"0101000020E6100000B08F4E5DF9A84DC0A583F57F0EFF4640",2018,4,24,114,0.566666666666667,"St. Anns Bank MPA","DNA - GF04","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0019-release-A69-1601-55033","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"20",822,"SABMPA","SABMPA-MPA-SAB-0020","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55034","",NA,NA,"",NA,NA,2018-04-24 15:27:00,"UTC",-59.03696,46.13824,"0101000020E61000004DA1F31ABB844DC0E17F2BD9B1114740",2018,4,24,114,15.45,"St. Anns Bank MPA","DNA - GF05","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0020-release-A69-1601-55034","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"21",829,"SABMPA","SABMPA-MPA-SAB-0021","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55035","",NA,NA,"",NA,NA,2018-04-24 15:37:00,"UTC",-59.03206,45.16332,"0101000020E610000040C1C58A1A844DC0306475ABE7944640",2018,4,24,114,15.6166666666667,"St. Anns Bank MPA","DNA - GF6","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0021-release-A69-1601-55035","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"22",844,"SABMPA","SABMPA-MPA-SAB-0022","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55036","",NA,NA,"",NA,NA,2018-04-24 16:27:00,"UTC",-58.96543,46.18963,"0101000020E6100000E449D235937B4DC0952BBCCB45184740",2018,4,24,114,16.45,"St. Anns Bank MPA","DNA - GF7","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0022-release-A69-1601-55036","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"23",1413,"SABMPA","SABMPA-MPA-SAB-0023","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55037","",NA,NA,"",NA,NA,2018-04-24 16:27:00,"UTC",-58.96543,46.18963,"0101000020E6100000E449D235937B4DC0952BBCCB45184740",2018,4,24,114,16.45,"St. Anns Bank MPA","DNA - GF8","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0023-release-A69-1601-55037","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"24",1422,"SABMPA","SABMPA-MPA-SAB-0024","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55038","",NA,NA,"",NA,NA,2018-04-24 16:27:00,"UTC",-58.96543,46.18963,"0101000020E6100000E449D235937B4DC0952BBCCB45184740",2018,4,24,114,16.45,"St. Anns Bank MPA","DNA - GF9","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0024-release-A69-1601-55038","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"25",1460,"SABMPA","SABMPA-MPA-SAB-0025","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55039","",NA,NA,"",NA,NA,2018-04-24 16:27:00,"UTC",-58.96543,46.18963,"0101000020E6100000E449D235937B4DC0952BBCCB45184740",2018,4,24,114,16.45,"St. Anns Bank MPA","DNA - GF10","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0025-release-A69-1601-55039","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"26",1466,"SABMPA","SABMPA-MPA-SAB-0026","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55050","",NA,NA,"",NA,NA,2018-04-24 16:27:00,"UTC",-58.96543,46.18963,"0101000020E6100000E449D235937B4DC0952BBCCB45184740",2018,4,24,114,16.45,"St. Anns Bank MPA","DNA - GF11","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0026-release-A69-1601-55050","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"27",1481,"SABMPA","SABMPA-MPA-SAB-0027","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55049","",NA,NA,"",NA,NA,2018-04-24 16:27:00,"UTC",-58.96543,46.18963,"0101000020E6100000E449D235937B4DC0952BBCCB45184740",2018,4,24,114,16.45,"St. Anns Bank MPA","DNA - GF12","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0027-release-A69-1601-55049","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"28",1485,"SABMPA","SABMPA-MPA-SAB-0028","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55048","",NA,NA,"",NA,NA,2018-04-24 18:24:00,"UTC",-58.95794,46.20428,"0101000020E6100000DFC325C79D7A4DC00A9DD7D8251A4740",2018,4,24,114,18.4,"St. Anns Bank MPA","DNA - GF13","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0028-release-A69-1601-55048","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"29",1486,"SABMPA","SABMPA-MPA-SAB-0029","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55047","",NA,NA,"",NA,NA,2018-04-24 19:04:00,"UTC",-58.98445,46.18163,"0101000020E61000000B462575027E4DC07AFCDEA63F174740",2018,4,24,114,19.0666666666667,"St. Anns Bank MPA","DNA - GF14","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0029-release-A69-1601-55047","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"30",1530,"SABMPA","SABMPA-MPA-SAB-0030","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55046","",NA,NA,"",NA,NA,2018-04-24 19:04:00,"UTC",-58.98445,46.18163,"0101000020E61000000B462575027E4DC07AFCDEA63F174740",2018,4,24,114,19.0666666666667,"St. Anns Bank MPA","DNA - GF15","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0030-release-A69-1601-55046","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"31",1615,"SABMPA","SABMPA-MPA-SAB-0031","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55045","",NA,NA,"",NA,NA,2018-04-24 19:04:00,"UTC",-58.99593,46.17395,"0101000020E61000007A8D5DA27A7F4DC0D1915CFE43164740",2018,4,24,114,19.0666666666667,"St. Anns Bank MPA","DNA - GF16","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0031-release-A69-1601-55045","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"32",1626,"SABMPA","SABMPA-MPA-SAB-0032","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55040","",NA,NA,"",NA,NA,2018-04-24 20:30:00,"UTC",-59.00052,46.15535,"0101000020E6100000397F130A11804DC080B74082E2134740",2018,4,24,114,20.5,"St. Anns Bank MPA","DNA - GF17","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0032-release-A69-1601-55040","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"33",1679,"SABMPA","SABMPA-MPA-SAB-0033","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55041","",NA,NA,"",NA,NA,2018-04-24 20:30:00,"UTC",-59.00052,46.15535,"0101000020E6100000397F130A11804DC080B74082E2134740",2018,4,24,114,20.5,"St. Anns Bank MPA","DNA - GF18","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0033-release-A69-1601-55041","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"34",1680,"SABMPA","SABMPA-MPA-SAB-0034","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55042","",NA,NA,"",NA,NA,2018-04-24 20:30:00,"UTC",-59.00052,46.15535,"0101000020E6100000397F130A11804DC080B74082E2134740",2018,4,24,114,20.5,"St. Anns Bank MPA","DNA - GF19","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0034-release-A69-1601-55042","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"35",1750,"SABMPA","SABMPA-MPA-SAB-0035","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55043","",NA,NA,"",NA,NA,2018-04-24 20:30:00,"UTC",-59.00052,46.15535,"0101000020E6100000397F130A11804DC080B74082E2134740",2018,4,24,114,20.5,"St. Anns Bank MPA","DNA - GF20","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0035-release-A69-1601-55043","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
"36",1751,"SABMPA","SABMPA-MPA-SAB-0036","Gadus morhua","Atlantic cod",2018-08-30,"SABMPA","SABMPA","St.Anns Bank MPA","release",NA,NA,"A69-1601-55044","",NA,NA,"",NA,NA,2018-04-24 20:30:00,"UTC",-59.00052,46.15535,"0101000020E6100000397F130A11804DC080B74082E2134740",2018,4,24,114,20.5,"St. Anns Bank MPA","DNA - GF21","Stanley, R.R.E.; Pettitt-Wade, H., Heaslip, S.G., Zisserson, B and Fenton, D. 2016. Maritimes Conservation Network: St. Anns Bank Marine Protected Area (MPA) Acoustic Tracking Study.","SABMPA-MPA-SAB-0036-release-A69-1601-55044","Ryan Stanley (ryan.stanley@dfo-mpo.gc.ca)","Harri Pettitt-Wade (harri.pettitt-wade@dfo-mpo.gc.ca)",0,1
