SPECCD_ID,APHIA_ID,COMM,SPEC
32,712906,WHITE MARLIN; TETRAPTERUS ALBIDUS,KAJIKIA ALBIDA
33,126950,BLUE MARLIN,MAKAIRA NIGRICANS
34,125465,ANCHOVIES,ENGRAULIDAE
35,125762,HAKE,MERLUCCIUS
36,125541,WRASSES,LABRIDAE
37,158996,"PEARLFISH,CHAIN",ECHIODON DAWSONI
38,125958,SWALLOWERS,PSEUDOSCOPELUS
39,126840,BLACK SWALLOWER; INCL CHIASMODON BOLANGERI,CHIASMODON NIGER
40,127137,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES
41,127136,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
42,1571969,YELLOWTAIL FLOUNDER; LIMANDA,MYZOPSETTA FERRUGINEA
43,158885,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS
44,158791,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
45,159275,EYED FLOUNDER,BOTHUS OCELLATUS
46,159813,NORTHERN SENNET,SPHYRAENA BOREALIS
47,159416,WHITE MULLET,MUGIL CUREMA
48,126983,STRIPED MULLET,MUGIL CEPHALUS
49,125579,FLOUNDER UNIDENTIFIED,PLEURONECTIDAE
50,126758,STRIPED ATLANTIC WOLFFISH,ANARHICHAS LUPUS
51,126759,SPOTTED WOLFFISH,ANARHICHAS MINOR
52,126757,NORTHERN WOLFFISH,ANARHICHAS DENTICULATUS
53,158830,TAUTOG,TAUTOGA ONITIS
54,159288,SERGEANT MAJOR,ABUDEFDUF SAXATILIS
55,126461,EUROPEAN LING,MOLVA MOLVA
56,126459,BLUE LING,MOLVA DYPTERYGIA
57,125475,PHYCINAE,PHYCIDAE
58,158698,STRIPED ANCHOVY,ANCHOA HEPSETUS
59,125517,"WOLFFISH,UNIDENT.",ANARHICHADIDAE
60,126417,HERRING ATLANTIC,CLUPEA HARENGUS
61,158670,SHAD AMERICAN,ALOSA SAPIDISSIMA
62,158669,ALEWIFE,ALOSA PSEUDOHARENGUS
63,126737,RAINBOW SMELT,OSMERUS MORDAX
64,126735,CAPELIN,MALLOTUS VILLOSUS
65,127186,SALMON ATLANTIC,SALMO SALAR
66,158726,LAKE WHITEFISH,COREGONUS CLUPEAFORMIS
67,158074,ATLANTIC WHITEFISH; CANADENSIS,COREGONUS HUNTSMANI
68,127182,PINK SALMON,ONCORHYNCHUS GORBUSCHA
69,127185,RAINBOW TROUT; SALMO GAIRDNERI,ONCORHYNCHUS MYKISS
70,127023,MACKEREL ATLANTIC,SCOMBER SCOMBRUS
71,127029,BLUEFIN TUNA,THUNNUS THYNNUS
72,127094,SWORDFISH,XIPHIAS GLADIUS
73,151748,"TUNAS,SWORDFISHES,ETC.",SCOMBROIDEI
74,159650,BANDED RUDDERFISH,SERIOLA ZONATA
75,127187,BROWN TROUT,SALMO TRUTTA
76,127188,ARCTIC CHAR,SALVELINUS ALPINUS
77,154241,BROOK TROUT,SALVELINUS FONTINALIS
78,127004,BULLEYE; INCL PRIACANTHUS CRUENTATUS; COOKEOLUS BOOPS,HETEROPRIACANTHUS CRUENTATUS
80,126808,ROUND SCAD,DECAPTERUS PUNCTATUS
81,151482,BLUEFISH,POMATOMUS SALTATRIX
82,126848,SHARKSUCKER,ECHENEIS NAUCRATES
83,126851,SPEARFISH REMORA,REMORA BRACHYPTERA
84,126853,REMORA,REMORA REMORA
85,126802,BLUE RUNNER,CARANX CRYSOS
86,126803,CREVALLE JACK,CARANX HIPPOS
87,126807,MACKEREL SCAD,DECAPTERUS MACARELLUS
88,126811,PILOTFISH,NAUCRATES DUCTOR
89,159646,BIGEYE SCAD,SELAR CRUMENOPHTHALMUS
91,159649,ATLANTIC LOOKDOWN,SELENE VOMER
92,126816,GREATER AMBERJACK,SERIOLA DUMERILI
93,126822,HORSE MACKEREL,TRACHURUS TRACHURUS
94,159647,ATLANTIC MOONFISH; INCL SELENE SETAPINNIS; VOMER,SELENE SETAPINNIS
95,126783,ATLANTIC POMFRET,BRAMA BRAMA
96,126788,BIGSCALE POMFRET,TARACTICHTHYS LONGIPINNIS
97,873087,GREENLAND MANEFISH; GROENLANDICUS,CARISTIUS FASCIATUS
98,159791,,LUTJANUS
99,159238,SHEEPSHEAD,ARCHOSARGUS PROBATOCEPHALUS
100,10194,"INCL PELAGIC FISH, GROUNDFISH AND UNID FISH; INCL CLUPEIDAE/OSMERIDAE F.; FINFISHES",ACTINOPTERYGII
102,159811,SCUP,STENOTOMUS CHRYSOPS
103,159313,WEAKFISH,CYNOSCION REGALIS
104,159333,BLACK DRUM,POGONIAS CROMIS
105,159418,RED GOATFISH,MULLUS AURATUS
106,303486,BERMUDA CHUB,KYPHOSUS SECTATRIX
107,159662,SPOTFIN BUTTERFLYFISH,CHAETODON OCELLATUS
108,126493,,LEPIDION EQUES
109,126489,DAINTY MORA,HALARGYREUS JOHNSONII
110,126433,ARCTIC COD,BOREOGADUS SAIDA
111,158991,SPOTTED HAKE,UROPHYCIS REGIA
112,158988,LONGFIN HAKE; UROPHYCIS,PHYCIS CHESTERI
113,126486,BLUE ANTIMORA/HAKE,ANTIMORA ROSTRATA
114,126450,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS
115,126453,THREEBEARD ROCKLING,GAIDROPSARUS ENSIS
116,126451,SILVER ROCKLING,GAIDROPSARUS ARGENTATUS
117,126439,BLUE WHITING,MICROMESISTIUS POUTASSOU
118,254538,GREENLAND COD; OGAC,GADUS MACROCEPHALUS
119,125743,ROCKLING UNIDENTIFIED; INCL ONOGADUS SPP.,GAIDROPSARUS
120,151177,WHITE PERCH,MORONE AMERICANA
121,159348,SOUTHERN SEA BASS,CENTROPRISTIS STRIATA
122,159785,CUNNER,TAUTOGOLABRUS ADSPERSUS
123,127251,ROSEFISH BLACK BELLY,HELICOLENUS DACTYLOPTERUS
124,126584,,CENTROBRANCHUS NIGROOCELLATUS
125,126591,,DIAPHUS EFFULGENS
126,158890,,DIAPHUS PERSPICILLATUS
127,158889,,DIAPHUS LUETKENI
128,126595,,DIAPHUS MOLLIS
129,126596,,DIAPHUS RAFINESQUII
130,126598,,DIAPHUS TERMOPHILUS
131,126600,RISSOI,ELECTRONA RISSO
132,126601,COCCO'S LANTERNFISH; COCCOI,GONICHTHYS COCCO
134,126602,BENOIT'S LANTERNFISH,HYGOPHUM BENOITI
135,126603,HYGOMI,HYGOPHUM HYGOMII
136,158895,,HYGOPHUM MACROCHIR
137,158896,,LAMPADENA LUMINOSA
138,126608,MIRROR LANTERNFISH,LAMPADENA SPECULIGERA
139,126610,,LAMPANYCTUS ALATUS
140,305774,SMOOTH FLOUNDER; LIOPSETTA,PLEURONECTES PUTNAMI
141,158826,SUMMER FLOUNDER,PARALICHTHYS DENTATUS
142,158833,FOURSPOT FLOUNDER,HIPPOGLOSSINA OBLONGA
143,158907,BRILL/WINDOWPANE,SCOPHTHALMUS AQUOSUS
144,126612,JEWEL LANTERNFISH,LAMPANYCTUS CROCODILUS
145,126614,,LAMPANYCTUS FESTIVUS
146,126617,,LAMPANYCTUS MACDONALDI
147,126619,,LAMPANYCTUS PUSILLUS
148,126342,NOTCH FEELERFISH,BATHYPTEROIS DUBIUS
149,158868,LONGNOSE GREENEYE,PARASUDIS TRUCULENTA
150,125498,LANTERNFISH,MYCTOPHIDAE
151,125604,STOMIATOID UNIDENTIFIED,STOMIIDAE
152,126590,,DIAPHUS DUMERILII
154,127286,VEILED ANGLE MOUTH,CYCLOTHONE MICRODON
155,221512,LONGTOOTH ANGLEMOUTH; GONOSTOMA ELONGATUM,SIGMOPS ELONGATUS
156,126336,SHORT-NOSE GREENEYE,CHLOROPHTHALMUS AGASSIZI
157,126580,GLACIER LANTERNFISH,BENTHOSEMA GLACIALE
158,127312,MUELLER'S PEARLSIDES,MAUROLICUS MUELLERI
159,127374,BOA DRAGONFISH,STOMIAS BOA
160,126715,ARGENTINE ATLANTIC,ARGENTINA SILUS
161,158718,STRIATED ARGENTINE,ARGENTINA STRIATA
162,126725,ARGENTINE.LARGE-EYED,NANSENIA GROENLANDICA
163,126585,"LANTERNFISH,HORNED",CERATOSCOPELUS MADERENSIS
164,158691,MENHADEN ATLANTIC,BREVOORTIA TYRANNUS
165,158667,BLUEBACK HERRING,ALOSA AESTIVALIS
167,126430,TARPON,MEGALOPS ATLANTICUS
168,126594,HEADLIGHT FISH,DIAPHUS METOPOCLAMPUS
169,127338,VIPERFISH,CHAULIODUS SLOANI
170,127022,CHUB MACKEREL,SCOMBER JAPONICUS
171,159342,SPANISH MACKEREL,SCOMBEROMORUS MACULATUS
172,127018,STRIPED BONITO/SKIPJACK; EUTHYNNUS,KATSUWONUS PELAMIS
173,127017,FALSE ALBACORE,EUTHYNNUS ALLETTERATUS
174,125523,JACK,CARANGIDAE
175,212256,BONEFISH,ALBULA VULPES
176,126719,GOITRE BLACKSMELT,BATHYLAGUS EURYOPS
177,127358,LOOSEJAW,MALACOSTEUS NIGER
178,158901,GEMELLERII,LOBIANCHIA GEMELLARII
179,158902,METALLIC LANTERNFISH,MYCTOPHUM AFFINE
180,126627,SPOTTED LANTERNFISH,MYCTOPHUM PUNCTATUM
181,126629,,NOTOLYCHNUS VALDIVIAE
182,272728,LANTERNFISH KROYER'S; ELONGATUS,NOTOSCOPELUS KROYERI
183,158916,LANTERNFISH PATCHWORK,NOTOSCOPELUS RESPLENDENS
184,126630,LARGESCALE LANTERNFISH,SYMBOLOPHORUS VERANYI
185,126631,,TAANINGICHTHYS BATHYPHILUS
186,126632,,TAANINGICHTHYS MINIMUS
187,127016,FRIGATE MACKEREL,AUXIS THAZARD
188,127021,ATLANTIC BONITO,SARDA SARDA
189,159340,KING MACKEREL,SCOMBEROMORUS CAVALLA
190,127026,ALBACORE TUNA,THUNNUS ALALUNGA
191,127027,YELLOWFIN TUNA,THUNNUS ALBACARES
192,127028,BIGEYE TUNA,THUNNUS OBESUS
193,125774,HAKE,UROPHYCIS
194,125474,MORAS,MORIDAE
195,125470,ROCKLING HAKE; ENCHELYOPUS/UROPHYCIS,LOTIDAE
196,125576,LEFTEYE FLOUNDER,BOTHIDAE
197,125557,PARROTFISH,SCARIDAE
198,158875,CHANNEL FLOUNDER,SYACIUM
199,1517577,LABROIDEI,EUPERCARIA INCERTAE SEDIS
200,158548,BARNDOOR SKATE,DIPTURUS LAEVIS
201,105865,THORNY SKATE,AMBLYRAJA RADIATA
202,158554,SMOOTH SKATE,MALACORAJA SENTA
203,1577339,LITTLE SKATE; ERINACEA,LEUCORAJA ERINACEUS
204,158553,WINTER SKATE,LEUCORAJA OCELLATA
205,105868,SPINYTAIL SKATE,BATHYRAJA SPINICAUDA
206,1460141,BRIER SKATE; RAJA,ROSTRORAJA EGLANTERIA
207,105894,ROUND SKATE; TERES; ROUND SKATE; RAJELLA FYLLAE,RAJELLA FYLLAE
208,105878,SOFT SKATE; RAJA MOLLIS,MALACORAJA SPINACIDERMIS
209,105864,SHORTTAIL SKATE,AMBLYRAJA JENSENI
210,105863,ARCTIC SKATE; RAJA,AMBLYRAJA HYPERBOREA
211,105711,SKATES,RAJIDAE
212,105892,ABYSSAL SKATE; RAJA,RAJELLA BATHYPHILA
213,1017389,ROUGHTAIL STINGRAY; DASYATIS,BATHYTOSHIA CENTROURA
214,196069,RAYS,MYLIOBATIFORMES
215,105843,"SHARK, SAND",CARCHARIAS TAURUS
216,321911,ATLANTIC TORPEDO; TORPEDO,TETRONARCE NOBILIANA
217,1019159,WHITE SKATE; RAJA,RAJELLA LINTEA
218,158540,PELAGIC STINGRAY; DASYATIS,PTEROPLATYTRYGON VIOLACEA
219,10216,SKATES AND RAYS,RAJIFORMES
220,105923,SPINY DOGFISH,SQUALUS ACANTHIAS
221,105906,BLACK DOGFISH,CENTROSCYLLIUM FABRICII
222,158518,SMOOTH DOGFISH,MUSTELUS CANIS
223,105907,PORTUGUESE SHARK,CENTROSCYMNUS COELOLEPIS
224,105911,ROUGH SAGRE,ETMOPTERUS PRINCEPS
225,1026118,ATLANTIC MANTA; MANTA,MOBULA BIROSTRIS
226,158917,,PROTOMYCTOPHUM ARCTICUM
227,125831,,NOTOSCOPELUS
228,126621,,LEPIDOPHANES GUENTHERI
229,125819,,DIAPHUS
230,105841,"PORBEAGLE,MACKEREL SHARK",LAMNA NASUS
231,105801,BLUE SHARK,PRIONACE GLAUCA
232,105838,WHITE SHARK,CARCHARODON CARCHARIAS
233,105837,BASKING SHARK,CETORHINUS MAXIMUS
234,105836,THRESHER SHARK,ALOPIAS VULPINUS
235,158510,ATLANTIC SHARPNOSE SHARK,RHIZOPRIONODON TERRAENOVAE
236,105819,"SMOOTH,HAMMERHEAD SHARK",SPHYRNA ZYGAENA
237,105919,GREENLAND SHARK,SOMNIOSUS MICROCEPHALUS
238,105839,SHORTFIN MAKO,ISURUS OXYRINCHUS
239,158513,DEEPSEA CAT SHARK,APRISTURUS PROFUNDORUM
240,101174,SEA LAMPREY,PETROMYZON MARINUS
241,271309,NORTHERN HAGFISH; GLUTINOSA,MYXINE LIMOSA
242,105825,DEEPWATER CHIMAERA,HYDROLAGUS AFFINIS
243,151802,AMERICAN ATLANT STURGEON; OXYRHYNCHUS,ACIPENSER OXYRINCHUS
244,105794,OCEANIC WHITETIP SHARK,CARCHARHINUS LONGIMANUS
245,105797,SANDBAR SHARK; MILBERTI,CARCHARHINUS PLUMBEUS
246,105796,DUSKY SHARK,CARCHARHINUS OBSCURUS
247,105829,LONGNOSE CHIMERA,HARRIOTTA RALEIGHANA
248,105830,KNIFENOSE CHIMERA,RHINOCHIMAERA ATLANTICA
249,157869,SHORTNOSE STURGEON,ACIPENSER BREVIROSTRUM
250,157872,LONGNOSE GAR,LEPISOSTEUS OSSEUS
251,125469,GADOIDS  COD,GADIDAE
252,125825,,LAMPANYCTUS
254,158699,BAY ANCHOVY,ANCHOA MITCHILLI
255,158812,SAILFISH,ISTIOPHORUS PLATYPTERUS
257,125944,AMBERJACKS,SERIOLA
258,151158,ATLANTIC CROAKER,MICROPOGONIAS UNDULATUS
259,159256,ATLANTIC NEEDLEFISH,STRONGYLURA MARINA
260,158695,ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM
261,159652,COMMON POMPANO,TRACHINOTUS CAROLINUS
262,159600,GIZZARD SHAD,DOROSOMA CEPEDIANUM
263,125538,GRUNTS  GRUNTERS; POMADASYIDAE,HAEMULIDAE
264,158668,HICKORY SHAD,ALOSA MEDIOCRIS
265,125546,MULLETS,MUGILIDAE
266,158810,PIGFISH,ORTHOPRISTIS CHRYSOPTERA
267,159335,RED DRUM,SCIAENOPS OCELLATUS
268,127063,RED PORGY,PAGRUS PAGRUS
269,159655,ROUGH SCAD,TRACHURUS LATHAMI
270,159322,SPOT CROAKER,LEIOSTOMUS XANTHURUS
271,159312,SPOTTED WEAKFISH,CYNOSCION NEBULOSUS
272,125424,STURGEONS,ACIPENSERIDAE
273,126141,TROUTS,SALMO
274,105716,DOGFISHES,SQUALIDAE
276,125509,DEEPSEA SMELTS,BATHYLAGIDAE
277,159214,,TRICHOPSETTA
278,126171,ROCKFISHES,SCORPAENA
279,125833,,SYMBOLOPHORUS
280,125595,SCORPIONFISHES,SCORPAENIDAE
281,125715,,ALOSA
282,158877,CHANNEL FLOUNDER,SYACIUM MICRURUM
283,127252,LABRADOR REDFISH,SEBASTES FASCIATUS
284,126611,,LAMPANYCTUS ATER
285,125940,,NAUCRATES
286,125815,,BENTHOSEMA
287,158913,,NOTOSCOPELUS BOLINI
288,125505,ARGENTINES; REPLACES ARGENTIOIDEI S.O.; ARGENTINIDAE,OPHIDIIDAE
289,159400,,CAULOLATILUS
291,126720,BATHYLAGUS COMPSUS,DOLICHOLAGUS LONGIROSTRIS
292,158886,,BOLINICHTHYS PHOTOTHORAX
293,125818,,CERATOSCOPELUS
294,10305,,SALMONIFORMES
295,125888,,BATHYLAGUS
296,125536,SNAKE MACKERELS,GEMPYLIDAE
297,125772,,SVETOVIDOVIA
298,10316,,LOPHIIFORMES
299,154247,SCORPAENIFORMES  ORDER,SCORPAENOIDEI
300,159520,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS
301,127203,SHORTHORN SCULPIN,MYOXOCEPHALUS SCORPIUS
302,127198,ARCTIC STAGHORN SCULPIN,GYMNOCANTHUS TRICUSPIS
303,159519,GRUBBY OR LITTLE SCULPIN,MYOXOCEPHALUS AENAEUS
304,127205,MAILED SCULPIN,TRIGLOPS MURRAYI
305,127206,NYBELIN SCULPIN,TRIGLOPS NYBELINI
306,127195,SNOWFLAKE HOOKEAR SCULPIN,ARTEDIELLUS UNCINATUS
307,127235,POLAR SCULPIN,COTTUNCULUS MICROPS
308,127237,PALLID SCULPIN; THOMPSONI,COTTUNCULUS THOMSONII
309,126154,SCULPIN,TRIGLOPS
310,126152,SCULPIN,MYOXOCEPHALUS
312,125589,SCULPINS; INCL COTTIDAE UNID,COTTIDAE
313,127199,TWOHORN SCULPIN,ICELUS BICORNIS
314,127200,SPATULATE SCULPIN,ICELUS SPATULA
315,254529,FOURHORN SCULPIN,MYOXOCEPHALUS QUADRICORNIS
316,127202,ARCTIC SCULPIN,MYOXOCEPHALUS SCORPIOIDES
317,127207,RIBBED SCULPIN; PINGELI,TRIGLOPS PINGELII
318,126150,SCULPIN,ICELUS
320,159518,SEA RAVEN,HEMITRIPTERUS AMERICANUS
321,126065,,THUNNUS
322,127289,,CYCLOTHONE PSEUDOPALLIDA
323,126147,HOOKEAR SCULPIN,ARTEDIELLUS
324,159209,,MONOLENE ANTILLARUM
325,159356,,ENGYOPHRYS SENTA
326,125564,PORGIES,SPARIDAE
327,317659,MYCTOPHUM ASPERUM,DASYSCOPELUS ASPER
328,125528,BUTTERFLYFISHES,CHAETODONTIDAE
329,125598,SEAROBINS,TRIGLIDAE
330,159571,"NORTHERN,COMMON SEA ROBIN",PRIONOTUS CAROLINUS
331,159550,ARMORED SEA ROBIN,PERISTEDION MINIATUM
332,159572,STRIPED SEA ROBIN,PRIONOTUS EVOLANS
333,159215,,TRICHOPSETTA ORBISULCUS
334,127337,,CHAULIODUS DANAE
335,126205,,CHAULIODUS
336,125464,HERRING,CLUPEIDAE
337,125513,"SMELTS,CAPELIN",OSMERIDAE
338,126201,,ARISTOSTOMIAS
339,125449,LIZARDFISHES,SYNODONTIDAE
340,159459,ALLIGATORFISH,ASPIDOPHOROIDES MONOPTERYGIUS
341,309268,ARCTIC ALLIGATORFISH; OLRIKI,ASPIDOPHOROIDES OLRIKII
342,126604,,HYGOPHUM REINHARDTII
343,125824,,LAMPADENA
344,158799,FRINGED FLOUNDER,ETROPUS CROSSOTUS
345,158795,SPOTFIN FLOUNDER,CYCLOPSETTA FIMBRIATA
346,10331,FLATFISH,PLEURONECTIFORMES
347,126718,BATHYLAGUS,BATHYLAGICHTHYS GREYAE
348,126194,,VINCIGUERRIA
349,157875,LADYFISH,ELOPS SAURUS
350,127191,ATLANTIC SEA POACHER,LEPTAGONUS DECAGONUS
351,125588,ALLIGATOR FISH,AGONIDAE
352,125555,BIGEYES,PRIACANTHIDAE
353,127005,BIGEYE,PRIACANTHUS ARENATUS
354,158964,BROSMICULUS,GADELLA IMBERBIS
355,126525,,REGALECUS GLESNE
356,126412,,RONDELETIA LORICATA
357,126483,,MELANONUS ZUGMAYERI
358,127256,ATLANTIC THORNYHEAD,TRACHYSCORPIA CRISTULATA
359,126861,,DIPLOSPINUS MULTISTRIATUS
360,125476,STICKLEBACK UNIDENTIFIED,GASTEROSTEIDAE
361,126505,THREESPINE STICKLEBACK,GASTEROSTEUS ACULEATUS
362,126507,NINESPINE STICKLEBACK,PUNGITIUS PUNGITIUS
363,159436,FOURSPINE STICKLEBACK,APELTES QUADRACUS
364,159437,BLACKSPOTTED STICKLEBACK,GASTEROSTEUS WHEATLANDI
365,126431,,BREGMACEROS ATLANTICUS
366,159429,SHORTSPINE BOARFISH,ANTIGONIA COMBATIA
367,127402,BALLONFISH,DIODON HOLOCANTHUS
368,159330,,MELAMPHAES PUMILUS
369,125621,,CHLOPSIS
370,125829,,MYCTOPHUM
371,126025,HEMIPTERONOTUS,XYRICHTYS
372,159786,,THALASSOMA BIFASCIATUM
373,125803,,MELANOCETUS
374,159223,,HEMANTHIAS
375,125790,,ANTENNARIUS
376,126198,,POLYIPNUS
377,125937,,DECAPTERUS
378,125886,,GLOSSANODON
379,158794,,CYCLOPSETTA
381,159830,,SYMPHYSANODON
382,159208,,MONOLENE
383,126338,EVERMANELLA BALBOA,EVERMANNELLA BALBO
384,127418,DEEPBODY BOARFISH,ANTIGONIA CAPROS
385,159213,DEEPWATER FLOUNDER,MONOLENE SESSILICAUDA
386,158801,SMALLMOUTH FLOUNDER,ETROPUS MICROSTOMUS
387,158792,HORNED WHIFF,CITHARICHTHYS CORNUTUS
388,158793,,CITHARICHTHYS GYMNORHINUS
389,127298,,ICHTHYOCOCCUS OVATUS
390,127297,,MARGRETHIA OBTUSIROSTRA
391,127351,,FLAGELLOSTOMIAS BOUREEI
392,127339,,CHIROSTOMIAS PLIOPTERUS
393,275069,,EUSTOMIAS BIGELOWI
394,158727,,EUSTOMIAS LIPOCHIRUS
395,127376,MACROSTOMIAS,STOMIAS LONGIBARBATUS
396,127372,INCL ULTIMOSTOMIAS MIRABILIS,PHOTOSTOMIAS GUERNEI
397,712507,OCELLATED FROGFISH; ANTENNARIUS,FOWLERICHTHYS OCELLATUS
398,125484,FROGFISHES,ANTENNARIIDAE
399,126533,SARGASSUMFISH,HISTRIO HISTRIO
400,159184,"MONKFISH,GOOSEFISH,ANGLER",LOPHIUS AMERICANUS
401,126537,DEEPSEA ANGLER,CERATIAS HOLBOELLI
402,126538,TRIPLE WART SEA DEVIL; COUESI,CRYPTOPSARAS COUESII
403,126545,ATLANTIC FOOTBALLFISH,HIMANTOLOPHUS GROENLANDICUS
404,125799,,HIMANTOLOPHUS
405,126534,,CAULOPHRYNE JORDANI
406,159180,,LINOPHRYNE ALGIBARBATA
407,126549,,LINOPHRYNE CORONATA
408,126550,LUCIFERA,LINOPHRYNE LUCIFER
409,158741,AMERICAN STRAPTAIL GRENADIER,MALACOCEPHALUS OCCIDENTALIS
410,183289,MARLIN-SPIKE GRENADIER,NEZUMIA BAIRDII
411,126472,ROUGHHEAD GRENADIER,MACROURUS BERGLAX
412,126481,ROUGHNOSE GRENADIER,TRACHYRINCUS MURRAYI
413,398381,LONGNOSE GRENADIER; CAELORINCHUS,COELORINCHUS CAELORHINCUS
414,158960,ROUNDNOSE GRENADIER,CORYPHAENOIDES RUPESTRIS
415,125485,,CAULOPHRYNIDAE
416,125471,GRENADIERS,MACROURIDAE
417,158732,,HETEROPHOTUS
418,125798,,GIGANTACTIS
419,127370,,PHOTONECTES MARGARITA
420,151456,MOJARRA,GERREIDAE
421,126724,,MICROSTOMA MICROSTOMA
422,127307,,ARGYROPELECUS AFFINIS
423,126593,,DIAPHUS LUCIDUS
424,158888,,DIAPHUS GARMANI
425,125431,"EELS,MORAY",MURAENIDAE
426,158581,PYGMY MORAY; YOSHIAE,ANARCHIAS SIMILIS
427,125636,,GYMNOTHORAX
428,126589,,DIAPHUS BRACHYCEPHALUS
429,125427,"EELS,CONGER",CONGRIDAE
430,125622,,ARIOSOMA
431,125624,,CONGER
432,158570,HILDEBRANDIA,RHYNCHOCONGER
433,125626,NYSTACTICHTHYS,HETEROCONGER
434,125627,,PARACONGER
435,126290,PSEUDOPHICHTHUS,PSEUDOPHICHTHYS SPLENDENS
436,203953,RHECHIAS,BATHYCONGRUS
437,158573,,UROCONGER
438,158574,,UROCONGER SYRINGINUS
439,158893,,DIAPHUS SPLENDIDUS
440,125434,SNAKE EELS,OPHICHTHIDAE
441,158595,,AHLIA EGMONTIS
442,158597,ACADEMY EEL,APTERICHTUS ANSP
443,158598,FINLESS EEL,APTERICHTUS KENDALLI
444,158600,,BASCANICHTHYS BASCANIUM
445,158603,,CALLECHELYS
446,158604,,CALLECHELYS MURAENA
447,158607,,ECHIOPHIS
448,158642,,MYROPHIS PLATYRHYNCHUS
449,158643,,MYROPHIS PUNCTATUS
450,125647,,OPHICHTHUS
451,271955,SHRIMP EEL; GOMESI,OPHICHTHUS GOMESII
452,275486,"EEL,PALESPOTTED; OPHICHTHUS",MYRICHTHYS OCELLATUS
453,126588,,DIAPHUS BERTELSENI
454,126625,,LOWEINA RARA
455,125436,"EELS, CUTTHROAT",SYNAPHOBRANCHIDAE
456,151825,,SYNAPHOBRANCHINAE
457,267050,"EELS,SNUBNOSE",SIMENCHELYINAE
458,158662,DYSOMMINAE,DYSOMMINA
459,125651,,DYSOMMA
460,126615,,LAMPANYCTUS INTRICARIUS
461,713102,,LAMPADENA ATLANTICA
462,126583,,BOLINICHTHYS SUPRALATERALIS
463,125432,"EELS,SNIPE",NEMICHTHYIDAE
464,125639,,NEMICHTHYS
465,126618,,LAMPANYCTUS PHOTONOTUS
466,126599,,DIOGENICHTHYS ATLANTICUS
467,126605,,HYGOPHUM TAANINGI
468,126586,,CERATOSCOPELUS WARMINGII
469,126620,,LEPIDOPHANES GAUSSI
470,151813,MORINGUIDEA,MORINGUIDAE
471,158578,MORGINUA,MORINGUA EDWARDSI
472,158580,,NEOCONGER MUCRONATUS
473,126581,,BENTHOSEMA SUBORBITALE
474,126626,,MYCTOPHUM NITIDULUM
475,125433,,NETTASTOMATIDAE
476,125641,,NETTASTOMA
477,158589,,HOPLUNNIS
478,158914,,NOTOSCOPELUS CAUDISPINOSUS
479,126356,AFFINE,MACROPARALEPIS AFFINIS
480,125426,XENOCONGRIDAE,CHLOPSIDAE
481,126282,,CHLOPSIS BICOLOR
