"SCI_NAME","COMM","CODE"
"CHLOROPHTHALMIDAE","GREENEYES",593
"CHLOROPHTHALMUS AGASSIZI","SHORT-NOSE GREENEYE",156
"CHONE",NA,3221
"CHRYSOGORGIA AGASSIZII",NA,8338
"CILIATOCARDIUM CILIATUM","ICELAND COCKLE; CLINOCARDIUM",4342
"CIRRIPEDIA","BARNACLES",2990
"CIRROTEUTHIS",NA,4509
"CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER",44
"CLAVULARIA",NA,8339
"CLUPEA HARENGUS","HERRING ATLANTIC",60
"CLYPEASTEROIDA","SAND DOLLARS",6500
"CNIDARIA","COELENTERATA",8200
"COELORINCHUS CAELORHINCUS","LONGNOSE GRENADIER; CAELORINCHUS",413
"COLUS","SPINDLE SHELL",4228
"CONGER OCEANICUS","CONGER EEL",608
"CORYPHAENOIDES RUPESTRIS","ROUNDNOSE GRENADIER",414
"COTTIDAE","SCULPINS; INCL COTTIDAE UNID",312
"COTTUNCULUS MICROPS","POLAR SCULPIN",307
"COTTUNCULUS THOMSONII","PALLID SCULPIN; THOMPSONI",308
"CRANGON SEPTEMSPINOSA",NA,2417
"CRANGON",NA,2416
"CRANGONIDAE",NA,2400
"CRINOIDEA","SEA LILIES",6900
"CROSSASTER PAPPOSUS","SPINY SUNSTAR",6123
"CRUSTACEA",NA,2000
"CRYPTACANTHODES MACULATUS","WRYMOUTH",630
"CTENODISCUS CRISPATUS","MUD STAR",6115
"CTENOPHORA","COMB JELLIES",8100
"CUBICEPS PAUCIRADIATUS",NA,820
"CUCUMARIA FRONDOSA","SEA CUCUMBER  COMMON",6611
"CUCUMARIIDAE",NA,6610
"CULCITOPSIS BOREALIS","PORANIOMORPHA",6130
"CYANEA CAPILLATA","PINK JELLYFISH",8511
"CYCLOPTERUS LUMPUS","LUMPFISH",501
"CYCLOTHONE","ANGLEMOUTH",755
"CYLICHNIDAE","CANOE SHELLS",4430
"CYRTODARIA SILIQUA","BANK CLAM",4312
"CYTTOPSIS ROSEA","RED DORY",595
"DECAPODA","SHRIMPS",2100
"DECAPODIFORMES","SQUID; INCL TEUTHOIDEA O.; LOLIGINIDAE,OMMASTREPHIDAE",4514
"DENDRONOTUS","BUSHY BACKSLUG",4410
"DESMARESTIA ACULEATA","SOUR WEED",9308
"DESMOPHYLLUM PERTUSUM","SPIDER HAZARDS CORAL; LOPHELIA PERTUSA",8331
"DIAPHUS DUMERILII",NA,152
"DIBRANCHUS ATLANTICUS","ATLANTIC BATFISH",742
"DICHELOPANDALUS LEPTOCERUS",NA,2214
"DICHELOPANDALUS",NA,2215
"DIPLOPTERASTER MULTIPES",NA,6131
"DIPTURUS LAEVIS","BARNDOOR SKATE",200
"DORYTEUTHIS PEALEII","LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",4512
"DRIFA GLOMERATA",NA,8388
"DUVA FLORIDA",NA,8389
"DYSPANOPEUS SAYI","SAY MUD CRAB",2517
"ECHINARACHNIUS PARMA",NA,6511
"ECHINODERMATA","SPINY SKINNED ANIMALS",6000
"ECHINOIDEA","SAND DOLLARS,URCHINS",6397
"ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING",114
"EPIGONUS DENTICULATUS",NA,677
"EPIGONUS PANDIONIS",NA,587
"EPIGONUS",NA,878
"EPIMERIA (EPIMERIA) LORICATA",NA,2795
"EPIZOANTHIDAE",NA,8381
"EPIZOANTHUS PAGURIPHILUS",NA,8383
"EPIZOANTHUS PAPILLOSUS","INCRUSTATUS",8321
"EPIZOANTHUS",NA,8382
"ETMOPTERUS PRINCEPS","ROUGH SAGRE",224
"ETROPUS MICROSTOMUS","SMALLMOUTH FLOUNDER",386
"EUALUS FABRICII","INCL SPIRONTOCARIS FABRICII",2332
"EUALUS GAIMARDII",NA,2333
"EUALUS MACILENTUS",NA,2331
"EUMESOGRAMMUS PRAECISUS","4-LINE SNAKE BLENNY",626
"EUMICROTREMUS SPINOSUS","ATLANTIC SPINY LUMPSUCKER",502
"EUNICIDAE",NA,3085
"EUPHAUSIA",NA,2612
"EUPHAUSIACEA","KRILL SHRIMP",2600
"EUPHAUSIIDAE",NA,2610
"EURYALIDA","BASKET STARS; GORGONOCEPHALIDAE,ASTERONYCHIDAE",6300
"EUSERGESTES ARCTICUS","SERGESTES",2223
"EUSPIRA HEROS","NORTHERN MOONSNAIL",4221
"FLABELLUM (ULOCYATHUS) ALABASTRUM",NA,8362
"FLABELLUM","CUP CORAL",8335
"FLUSTRA FOLIACEA","LEMONWEED",1901
"FOETOREPUS AGASSIZII","SPOTFIN DRAGONET; AGASSIZI",637
"FUCUS DISTICHUS","ROCK WEED",9328
"FUCUS SERRATUS","TOOTHED WRACK",9330
"FUCUS VESICULOSUS","BLADDER WRACK",9327
"FUCUS","BROWN ROCKWEED",9301
"FUNICULINA QUADRANGULARIS",NA,8359
"GADIFORMES","REPLACES GADOIDEI S.O.",18
"GADUS MACROCEPHALUS","GREENLAND COD; OGAC",118
"GADUS MORHUA","COD ATLANTIC",10
"GAIDROPSARUS ARGENTATUS","SILVER ROCKLING",116
"GAIDROPSARUS ENSIS","THREEBEARD ROCKLING",115
"GAIDROPSARUS","ROCKLING UNIDENTIFIED; INCL ONOGADUS SPP.",119
"GALATHEIDAE",NA,2554
"GAMMARIDAE",NA,2811
"GASTEROSTEUS ACULEATUS","THREESPINE STICKLEBACK",361
"GASTROPODA","SNAILS AND SLUGS",4200
"GEODIA",NA,8364
"GERSEMIA FRUTICOSA",NA,8390
"GERSEMIA RUBIFORMIS","SEA CAULIFLOWER, STRAWBERRIES",8324
"GLYCERA CAPITATA","BLOOD WORM",3551
"GLYCERA","BLOOD WORMS",3550
"GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER",41
"GNATHOPHAUSIA",NA,2771
"GONATIDAE",NA,4568
"GONOSTOMATIDAE","ANGLEMOUTH",745
"GORGONOCEPHALUS",NA,6310
"GRAMMATOSTOMIAS DENTATUS","TORPEDO DRAGONFISH",717
"GRAMMICOLEPIS BRACHIUSCULUS","THORNY TINSELFISH",777
"GYMNELUS VIRIDIS","FISH DOCTOR; GYMNELIS",616
"GYMNOCANTHUS TRICUSPIS","ARCTIC STAGHORN SCULPIN",302
"HALICLONA (HALICLONA) OCULATA","EYED SPONGE",8621
"HALICLONA",NA,8618
"HALIEUTICHTHYS ACULEATUS","BATFISH,SPINY",844
"HALOCYNTHIA PYRIFORMIS","SEA PEACH",1827
"HARMOTHOE EXTENUATA",NA,3505
"HARMOTHOE",NA,3503
"HELICOLENUS DACTYLOPTERUS","ROSEFISH BLACK BELLY",123
"HEMITRIPTERUS AMERICANUS","SEA RAVEN",320
"HENRICIA SANGUINOLENTA","BLOOD STAR",6119
"HENRICIA","BLOOD STAR  GENUS; INCL HENRICA SP",6118
"HIATELLA ARCTICA","SOFT SHELL OR LONG NECK CLAM",4319
"HIPPASTERIA PHRYGIANA",NA,6117
"HIPPOCAMPUS ERECTUS","LINED SEAHORSE",779
"HIPPOGLOSSINA OBLONGA","FOURSPOT FLOUNDER",142
"HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE",40
"HIPPOGLOSSUS HIPPOGLOSSUS","HALIBUT ATLANTIC",30
"HOLOTHUROIDEA",NA,6600
"HOMARUS AMERICANUS","AMERICAN LOBSTER",2550
"HOPLOSTETHUS ATLANTICUS","ORANGE ROUGHY",1006
"HORMATHIA",NA,8316
"HYALINOECIA TUBICOLA","CF",3099
"HYAS ARANEUS","TOAD CRAB",2527
"HYAS COARCTATUS",NA,2521
"HYAS","TOAD CRAB,UNIDENT.",2520
"HYDROZOA",NA,8400
"HYPERIA GALBA","BIG-EYED AMPHIPOD",2903
"HYPERIA",NA,2810
"HYPERIIDAE",NA,2906
"HYPERIIDEA",NA,2905
"HYPEROGLYPHE PERCIFORMIS","AMERICAN BARRELFISH",743
"ICELUS BICORNIS","TWOHORN SCULPIN",313
"ICELUS SPATULA","SPATULATE SCULPIN",314
"ILLEX ILLECEBROSUS","SHORT-FIN SQUID",4511
"ILYANASSA TRIVITTATA","WAS NASSA BIVITTATA; NASSA BIVITTATA",4233
"INCIRRATA","OCTOPUS; INCIRRINA",4520
"IRIDONIDA IRIS","MUNIDA",2555
"ISOPODA","RED ISOPOD",2980
"KERATOISIS GRAYI","GOLD-BANDED/BAMBOO CORAL; ORNATA",8325
"KOPHOBELEMNON STELLIFERUM",NA,8368
"LAETMONICE FILICORNIS",NA,3215
"LAMNA NASUS","PORBEAGLE,MACKEREL SHARK",230
"LAMPANYCTUS MACDONALDI",NA,146
"LAMPRIFORMES",NA,891
"LEBBEUS GROENLANDICUS",NA,2319
"LEBBEUS MICROCEROS","INCL LEBBEUS ZEBRA",1282
"LEBBEUS POLARIS",NA,2312
"LEBBEUS",NA,2320
"LEPIDION SCHMIDTI",NA,1274
"LEPIDONOTUS SQUAMATUS",NA,3501
"LEPOPHIDIUM PROFUNDORUM","FAWN CUSK EEL",650
"LEPTAGONUS DECAGONUS","ATLANTIC SEA POACHER",350
"LEPTASTERIAS (HEXASTERIAS) POLARIS",NA,6113
"LEPTASTERIAS TENERA","SLENDER ARMED SEA STAR",6134
"LEPTASTERIAS",NA,6114
"LEPTOCLINUS MACULATUS","DAUBED SHANNY; LUMPENUS",623
"LEPTYCHASTER ARCTICUS",NA,8348
"LEUCORAJA ERINACEUS","LITTLE SKATE; ERINACEA",203
"LEUCORAJA GARMANI","SKATE,ROSETTE; RAJA",967
"LEUCORAJA OCELLATA","WINTER SKATE",204
"LEUCORAJA","SKATE;LITTLE OR WINTER; UNSPECIFIED",1191
"LIPARIS ATLANTICUS","ATLANTIC SEASNAIL",503
"LIPARIS COHENI","GULF SEA SNAIL",513
"LIPARIS FABRICII","SEASNAIL,GELATINOUS",505
"LIPARIS GIBBUS","SEASNAIL,DUSKY",512
"LIPARIS INQUILINUS","INQUILINE SEASNAIL",508
"LIPARIS LIPARIS","STRIPED SEASNAIL",504
"LIPARIS TUNICATUS","GREENLAND SEASNAIL",506
"LIPARIS","SEASNAIL UNIDENTIFIED",500
"LITHODES MAJA","NORTHERN STONE CRAB",2523
"LITHODIDAE","SPINY CRAB; LITHODES/NEOLITHODES",2525
"LITTORINIDAE","PERIWINKLES",4250
"LOPHASTER FURCIFER",NA,8349
"LOPHIUS AMERICANUS","MONKFISH,GOOSEFISH,ANGLER",400
"LOPHOLATILUS CHAMAELEONTICEPS","TILE FISH",25
"LUMPENUS FABRICII","SLENDER EELBLENNY",631
"LUMPENUS LAMPRETAEFORMIS","SNAKE BLENNY; LUMPRETAEFORMIS",622
"LYCENCHELYS PAXILLUS","COMMON WOLF EEL",617
"LYCENCHELYS VERRILLII","WOLF EELPOUT; VERRILLI",603
"LYCODES ESMARKII","VACHON'S EELPOUT; ESMARKI",643
"LYCODES EUDIPLEUROSTICTUS","EELPOUT",845
"LYCODES LAVALAEI","LAVAL'S EELPOUT",620
"LYCODES PALLIDUS","PALE EELPOUT",627
"LYCODES POLARIS","POLAR EELPOUT",628
"LYCODES RETICULATUS","ARCTIC EELPOUT",641
"LYCODES TERRAENOVAE","EELPOUT,NEWFOUNDLAND; INCL LYCODES ATLANTICUS; TERRAENOVA",619
"LYCODES VAHLII","SHORTTAILED EELPOUT VAHL",647
"LYCODES","EELPOUTS",642
"MACRORAMPHOSUS SCOLOPAX","LONGSPINE SNIPEFISH; MACRORHAMPHOSUS",556
"MACROURIDAE","GRENADIERS",416
"MACROURUS BERGLAX","ROUGHHEAD GRENADIER",411
"MACTROMERIS POLYNYMA","STIMPSON'S SURF CLAM, ARCTIC SURF CLAM",4355
"MAGNISUDIS ATLANTICA","SHORT BARRACUDINA; INCL PARALEPIS ATLANTICA KROYER; PARALEPIS",711
"MAJIDAE","SPIDER CRAB",2519
"MALACOCEPHALUS OCCIDENTALIS","AMERICAN STRAPTAIL GRENADIER",409
"MALACORAJA SENTA","SMOOTH SKATE",202
"MALDANIDAE","FILAMENT TUBE WORM",3143
"MALLOTUS VILLOSUS","CAPELIN",64
"MARGARITES COSTALIS",NA,4224
"MARGARITES GROENLANDICUS","GROENLANDICA",4225
"MAUROLICUS MUELLERI","MUELLER'S PEARLSIDES",158
"MEDIASTER BAIRDI",NA,6128
"MEGANYCTIPHANES NORVEGICA","NORTHERN KRILL",2611
"MELAMPHAIDAE","MELAMPHAEIDAE",558
"MELANOGRAMMUS AEGLEFINUS","HADDOCK",11
"MELANOSTIGMA ATLANTICUM","ATLANTIC SOFT POUT",646
"MERCENARIA MERCENARIA","HARD CLAM; INCL VENUS MERCENARIA (OBSOLETE)",4323
"MERLUCCIUS ALBIDUS","OFF-SHORE HAKE",19
"MERLUCCIUS BILINEARIS","SILVER HAKE",14
"METRIDIUM SENILE",NA,8311
"MICROGADUS TOMCOD","TOMCOD ATLANTIC",17
"MICROMESISTIUS POUTASSOU","BLUE WHITING",117
"MODIOLUS MODIOLUS","HORSE MUSSELS",4332
"MOLA MOLA","OCEAN SUNFISH",730
"MOLGULA MANHATTENSIS","SEA GRAPES",1826
"MOLGULIDAE",NA,1815
"MOLLUSCA",NA,4000
"MOLPADIA",NA,6718
"MONOLENE SESSILICAUDA","DEEPWATER FLOUNDER",385
"MONSTRILLA","COPEPOD",2908
"MUNIDOPSIS CURVIROSTRA",NA,2566
"MUSCULUS NIGER",NA,4334
"MYA ARENARIA","SOFT SHELL CLAM",4318
"MYCALE (MYCALE) LINGUA",NA,8616
"MYCTEROPERCA","SEA BASSES",664
"MYCTOPHIDAE","LANTERNFISH",150
"MYCTOPHIFORMES",NA,811
"MYCTOPHUM PUNCTATUM","SPOTTED LANTERNFISH",180
"MYCTOPHUM",NA,370
"MYOXOCEPHALUS AENAEUS","GRUBBY OR LITTLE SCULPIN",303
"MYOXOCEPHALUS OCTODECEMSPINOSUS","LONGHORN SCULPIN",300
"MYOXOCEPHALUS SCORPIOIDES","ARCTIC SCULPIN",316
"MYOXOCEPHALUS SCORPIUS","SHORTHORN SCULPIN",301
"MYSIDA","MYSID SHRIMP; MYSIDACEA",2700
"MYTILIDAE","MUSSELS",4330
"MYTILUS EDULIS","COMMON MUSSELS",4331
"MYXINE LIMOSA","NORTHERN HAGFISH; GLUTINOSA",241
"MYZOPSETTA FERRUGINEA","YELLOWTAIL FLOUNDER; LIMANDA",42
NA,"SEA CORALS",8530
NA,"SEAWEED, ALGAE ,KELP; THALLOPHYTA",9300
NA,"SCALLOP SHELLS",4349
NA,"EGGS UNID.",1100
NA,"BUCCINIDAE/WHELK EGGS",1510
NA,"STONES AND ROCKS",9200
NA,"RAJA/SKATE EGGS",1224
NA,"ORGANIC DEBRIS",9630
NA,"FIFTH UNIDENTIFIED PER SET",9995
NA,"TURBELLARIA",7500
NA,"MOLLUSCA SHELLS EMPTY",4348
NA,"EIGHTH UNIDENTIFIED PER SET",9998
NA,"THECOSOMATA",2606
NA,"FIRST UNIDENTIFIED PER SET",9991
NA,"GASTEROPODA/SNAIL/SLUG EGGS",1511
NA,"THIRD UNIDENTIFIED PER SET",9993
NA,"SIXTH UNIDENTIFIED PER SET",9996
NA,"SEVENTH UNIDENTIFIED PER SET",9997
NA,"FOREIGN ARTICLES,GARBAGE",9400
NA,"NINTH UNIDENTIFIED PER SET",9999
NA,"SECOND UNIDENTIFIED PER SET",9992
NA,"FOURTH UNIDENTIFIED PER SET",9994
NA,"MIXED",9990
NA,"GAMMARIDEA; WHITE,G. AMPHI",2819
NA,"SOFT CORAL UNIDENTIFIED",8327
NA,"CEPHALOPODA/SQUID EGGS",1530
"NATICIDAE","MOON SNAIL UNSP",4220
"NAUCRATES DUCTOR","PILOTFISH",88
"NEALOTUS TRIPES",NA,28
"NEMATODA","INCL PARASITES,ROUND WORMS	PARASITES,ROUND WORMS",7100
"NEMERTEA","RIBBON WORM; INCL RHYNCHOCOELA",8343
"NEMICHTHYS SCOLOPACEUS","SNIPE EEL",604
"NEOLITHODES GRIMALDII","PORCUPINE CRAB",2528
"NEPHTHEIDAE",NA,8386
"NEPHTYIDAE",NA,3115
"NEPHTYS",NA,3104
"NEPTUNEA DECEMCOSTATA","NEW ENGLAND NEPTUNE",4227
"NEREIDIDAE","NEREIDAE",3150
"NEREIS",NA,3130
"NEZUMIA AEQUALIS","SMOOTH GRENADIER",1270
"NEZUMIA BAIRDII","MARLIN-SPIKE GRENADIER",410
"NEZUMIA",NA,1013
"NOMEIDAE","DRIFTFISHES",821
"NOTOSCOPELUS KROYERI","LANTERNFISH KROYER'S; ELONGATUS",182
"NUCELLA LAPILLUS",NA,4231
"NUCULA",NA,4308
"NUCULIDAE","NUT SHELLS",4350
"NUDIBRANCHIA","SEA SLUGS",4400
"NYMPHON",NA,2893
"OBELIA","HYDROMEDUSAE",8421
"OCTOPODA","OCTOPUS",4521
"OGCOCEPHALIDAE","BATFISHES",694
"OITHONA SETIGERA SETIGERA","SPINIROSTRIS",2930
"ONCOPAGURUS",NA,2571
"OPHELIA",NA,3159
"OPHIACANTHA ABYSSICOLA",NA,6201
"OPHIACANTHA BIDENTATA",NA,6202
"OPHIDIIDAE","ARGENTINES; REPLACES ARGENTIOIDEI S.O.; ARGENTINIDAE",288
"OPHIOPHOLIS ACULEATA","DAISY",6211
"OPHIURA SARSII","SARSI",6213
"OPHIURA",NA,6212
"OPHIUROIDEA","BRITTLE STAR",6200
"OSMERIDAE","SMELTS,CAPELIN",337
"OSMERUS MORDAX","RAINBOW SMELT",63
"PACHYCERIANTHUS BOREALIS",NA,8320
"PAGURIDAE","HERMIT CRABS",2559
"PAGUROIDEA",NA,2560
"PAGURUS ACADIANUS",NA,2562
"PAGURUS ARCUATUS",NA,2568
"PAGURUS POLITUS",NA,2558
"PAGURUS",NA,2561
"PALMARIA PALMATA","DULSE",9334
"PANDALIDAE",NA,2200
"PANDALUS BOREALIS",NA,2211
"PANDALUS MONTAGUI",NA,2212
"PANDALUS",NA,2210
"PARAGORGIA ARBOREA","BUBBLE GUM CORAL",8323
"PARALEPIDIDAE","BARRACUDINA,UNIDENTIFIED",713
"PARALEPIS","BARRACUDINA",565
"PARALICHTHYS DENTATUS","SUMMER FLOUNDER",141
"PARALIPARIS CALIDUS","SEASNAIL",868
"PARALIPARIS COPEI","BLACKSNOUT SEASNAIL",511
"PARAMURICEA",NA,8333
"PARASUDIS TRUCULENTA","LONGNOSE GREENEYE",149
"PARVICARDIUM PINNULATUM","NORTHERN DWARF COCKLE; CERASTODERMA",4345
"PASIPHAEA MULTIDENTATA",NA,2221
"PASIPHAEA TARDA",NA,2220
"PASIPHAEIDAE",NA,2219
"PECTINARIA",NA,3144
"PECTINIDAE","SCALLOPS",4320
"PELAGIA NOCTILUCA","JELLYFISH",8520
"PENNATULA ACULEATA",NA,8367
"PENNATULOIDEA","SEA PEN; PENNATULACEA",8318
"PENTAMERA CALCIGERA","PHYLLOPHORIDAE",6601
"PEPRILUS TRIACANTHUS","BUTTERFISH",701
"PERIPHYLLA PERIPHYLLA",NA,8516
"PERISTEDION MINIATUM","ARMORED SEA ROBIN",331
"PETRASMA BOREALIS","SOLEMYA",4346
"PETROMYZON MARINUS","SEA LAMPREY",240
"PHAEOPHYCEAE","BROWN SEAWEEDS",9303
"PHASCOLOPSIS GOULDII","GOULD'S SIPUNCULID; PHASCOLOSOMA",3313
"PHOLIS FASCIATA","BANDED GUNNEL",633
"PHOLIS GUNNELLUS","ROCK GUNNEL EEL",621
"PHRONIMA",NA,2946
"PHYCIS CHESTERI","LONGFIN HAKE; UROPHYCIS",112
"PHYSICULUS FULVUS","LITTLE MORID",757
"PLACOPECTEN MAGELLANICUS","SEA SCALLOP",4321
"PLESIONIKA MARTIA",NA,2217
"PLESIONIKA",NA,2216
"PLEURONECTES PUTNAMI","SMOOTH FLOUNDER; LIOPSETTA",140
"PLEURONECTIDAE","FLOUNDER UNIDENTIFIED",49
"PLUTONASTER AGASSIZI",NA,6139
"POLLACHIUS VIRENS","POLLOCK",16
"POLYCHAETA","BRISTLE WORMS",3100
"POLYIPNUS CLARUS","HATCHETFISH,SLOPE",708
"POLYIPNUS",NA,376
"POLYMASTIA ANDRICA",NA,8609
"POLYMASTIA HEMISPHAERICA",NA,8608
"POLYMASTIA MAMILLARIS","MAMMILARIS",8611
"POLYMASTIA",NA,8610
"POLYMASTIIDAE","POLYMASTIA",8605
"POLYMETME CORYTHAEOLA",NA,942
"POLYMIXIA LOWEI","BEARDFISH",771
"POLYMIXIA NOBILIS","STOUT BEARD FISH",744
"POLYNOIDAE",NA,3500
